ID,NOM,PAYS,REGION,APPELLATION,PRODUCTEUR,ANNEE
1,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2018
2,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2018
3,Torbreck,Australia,Australian,The Laird,Torbreck,2016
4,Vega Sicilia,Spain,Spanish,Unico,Vega Sicilia,1999
5,Château Latour,France,Bordeaux Left Bank,Grand Vin Pauillac (Premier Grand Cru Classé),Château Latour,1990
7,Château Haut-Brion,France,Bordeaux Left Bank,Pessac-Léognan (Premier Grand Cru Classé),Château Haut-Brion,1989
10,Château Margaux,France,Bordeaux Left Bank,Château Margaux (Premier Grand Cru Classé),Château Margaux,2000
12,Pétrus,France,Bordeaux Right Bank,Pomerol,Pétrus,1990
16,Château Lafite Rothschild,France,Bordeaux Left Bank,Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild,2003
18,Masseto,Italy,Tuscan,Toscana,Masseto,2006
19,Vega Sicilia,Spain,Spanish,Unico Reserva Especial Edición,Vega Sicilia,2016
23,Domaine de La Romanée-Conti,France,Burgundy,Grands-Échezeaux Grand Cru,Domaine de La Romanée-Conti,2014
24,Quintarelli Giuseppe,Italy,Italian,Amarone della Valpolicella Classico,Quintarelli Giuseppe,2013
34,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti,2008
41,Promontory,United States,Napa Valley,Promontory,Promontory,2014
42,Quinta do Crasto,Portugal,Portuguese,Vinha Maria Teresa,Quinta do Crasto,2017
45,Giacomo Conterno,Italy,Italian,Barolo Cascina Francia,Giacomo Conterno,2016
47,Dominio de Pingus,Spain,Spanish,Pingus,Dominio de Pingus,2016
48,Château Pavie,France,Bordeaux Right Bank,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Pavie,2015
50,Domaine de La Romanée-Conti,France,Burgundy,Échezeaux Grand Cru,Domaine de La Romanée-Conti,2017
52,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,1978
53,Casanova di Neri,Italy,Italian,Cerretalto Brunello di Montalcino,Casanova di Neri,2016
57,E. Guigal,France,Northern Rhône,Côte-Rôtie La Mouline,E. Guigal,2003
58,Domaine Armand Rousseau,France,Burgundy,Chambertin Grand Cru,Domaine Armand Rousseau,1996
63,Le Pin,France,Bordeaux Right Bank,Pomerol,Le Pin,1990
66,Giacomo Conterno,Italy,Italian,Barolo Riserva Monfortino,Giacomo Conterno,2015
71,E. Guigal,France,Northern Rhône,Côte-Rôtie La Landonne,E. Guigal,1991
72,Domaine Jacques Prieur,France,Burgundy,Musigny Grand Cru,Domaine Jacques Prieur,2012
73,Domaine Armand Rousseau,France,Burgundy,Chambertin Clos de Beze Grand Cru,Domaine Armand Rousseau,2005
74,Domaine G. Roumier,France,Burgundy,Bonnes-Mares Grand Cru,Domaine G. Roumier,2005
75,Colgin,United States,Napa Valley,IX Estate Red,Colgin,2017
76,Domaine du Comte Liger-Belair,France,Burgundy,La Romanee Grand Cru Monopole,Domaine du Comte Liger-Belair,2008
79,Henri Jayer,France,Burgundy,Vosne-Romanée Cros Parantoux,Henri Jayer,1996
80,Clos Rougeard,France,Middle Loire,Le Bourg Saumur Champigny,Clos Rougeard,2013
81,Quintarelli Giuseppe,Italy,Northern Italy,Veneto Alzero Cabernet,Quintarelli Giuseppe,1996
83,Artadi,Spain,Spanish,Viña El Pison,Artadi,2018
84,Château Margaux,France,Bordeaux Left Bank,Margaux du Château Margaux,Château Margaux,1990
