ID,NOM,PAYS,REGION,APPELLATION,PRODUCTEUR,ANNEE
1,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2018
2,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2018
3,Torbreck,Australia,Australian,The Laird,Torbreck,2016
4,Vega Sicilia,Spain,Spanish,Unico,Vega Sicilia,1999
5,Château Latour,France,Bordeaux Left Bank,Grand Vin Pauillac (Premier Grand Cru Classé),Château Latour,1990
6,Vega Sicilia,Spain,Spanish,Unico,Vega Sicilia,2010
7,Château Haut-Brion,France,Bordeaux Left Bank,Pessac-Léognan (Premier Grand Cru Classé),Château Haut-Brion,1989
8,Vega Sicilia,Spain,Spanish,Unico,Vega Sicilia,1996
9,Château Latour,France,Bordeaux Left Bank,Grand Vin Pauillac (Premier Grand Cru Classé),Château Latour,1982
10,Château Margaux,France,Bordeaux Left Bank,Château Margaux (Premier Grand Cru Classé),Château Margaux,2000
11,Vega Sicilia,Spain,Spanish,Unico,Vega Sicilia,1998
12,Pétrus,France,Bordeaux Right Bank,Pomerol,Pétrus,1990
13,Château Haut-Brion,France,Bordeaux Left Bank,Pessac-Léognan (Premier Grand Cru Classé),Château Haut-Brion,2000
14,Pétrus,France,Bordeaux Right Bank,Pomerol,Pétrus,1989
15,Vega Sicilia,Spain,Spanish,Unico,Vega Sicilia,1995
16,Château Lafite Rothschild,France,Bordeaux Left Bank,Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild,2003
17,Château Latour,France,Bordeaux Left Bank,Grand Vin Pauillac (Premier Grand Cru Classé),Château Latour,2003
18,Masseto,Italy,Tuscan,Toscana,Masseto,2006
19,Vega Sicilia,Spain,Spanish,Unico Reserva Especial Edición,Vega Sicilia,2016
20,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2007
21,Vega Sicilia,Spain,Spanish,Unico Reserva Especial Edición,Vega Sicilia,2018
22,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2006
23,Domaine de La Romanée-Conti,France,Burgundy,Grands-Échezeaux Grand Cru,Domaine de La Romanée-Conti,2014
24,Quintarelli Giuseppe,Italy,Italian,Amarone della Valpolicella Classico,Quintarelli Giuseppe,2013
25,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2004
26,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2014
27,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,1990
28,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2011
29,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,1995
30,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2009
31,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,1999
32,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2009
33,Vega Sicilia,Spain,Spanish,Unico Reserva Especial Edición,Vega Sicilia,2019
34,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti,2008
35,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2000
